filename,blue_percentage,black_percentage
1.webp,0.0360,89.9164
10.webp,0.0271,90.1564
100.webp,0.0250,89.9225
1000.webp,0.0217,89.9181
101.webp,0.0156,89.9209
102.webp,0.0154,89.9230
103.webp,0.0136,90.0378
104.webp,0.0078,89.9322
105.webp,0.0074,89.9259
106.webp,0.0129,89.9150
107.webp,0.0153,89.9362
108.webp,0.0106,89.9299
109.webp,0.7087,89.9166
11.webp,0.0185,89.9189
110.webp,0.0222,89.9202
111.webp,0.8599,90.0390
112.webp,0.0165,89.9290
113.webp,0.1376,89.9161
114.webp,0.2261,90.0332
115.webp,0.0084,89.9358
116.webp,0.4629,89.9156
117.webp,1.2522,90.1496
118.webp,0.0257,89.9225
119.webp,0.0230,89.9164
12.webp,0.0123,89.9259
120.webp,0.0891,90.0370
121.webp,0.0136,90.0350
122.webp,0.0217,89.9243
123.webp,0.0180,89.9280
124.webp,0.0130,90.0364
125.webp,0.0484,89.9159
126.webp,0.0237,89.9220
127.webp,0.0132,89.9170
128.webp,0.0237,89.9256
129.webp,0.0335,90.1502
13.webp,0.0138,89.9243
130.webp,0.0353,89.9160
131.webp,0.0150,89.9261
132.webp,0.0188,89.9181
133.webp,0.0084,89.9228
134.webp,0.3244,89.9167
135.webp,0.0285,89.9186
136.webp,0.0077,89.9256
137.webp,0.0083,89.9254
138.webp,0.0068,89.9265
139.webp,0.0109,90.1556
14.webp,0.0267,90.0388
140.webp,0.0108,89.9263
141.webp,0.0201,89.9258
142.webp,0.1706,89.9169
143.webp,0.0154,89.9224
144.webp,0.0220,90.0392
145.webp,0.0099,89.9154
146.webp,0.0094,89.9347
147.webp,0.0091,89.9281
148.webp,2.2941,90.1513
149.webp,0.0212,89.9238
15.webp,0.0252,90.0336
150.webp,0.0196,89.9214
151.webp,0.0087,89.9273
152.webp,0.0134,89.9261
153.webp,0.0332,89.9246
154.webp,0.0185,89.9243
155.webp,0.0127,89.9243
156.webp,0.0117,89.9241
157.webp,0.0123,89.9220
158.webp,0.2821,89.9186
159.webp,1.4023,90.1495
16.webp,2.0981,89.9153
160.webp,0.0094,89.9223
161.webp,0.0088,90.0426
162.webp,0.0175,89.9203
163.webp,0.0065,89.9355
164.webp,0.0262,89.9171
165.webp,0.0103,89.9360
166.webp,0.0189,89.9190
167.webp,0.0198,89.9170
168.webp,0.3232,90.0340
169.webp,0.0216,89.9156
17.webp,0.0335,89.9162
170.webp,0.0097,89.9374
171.webp,0.0207,89.9173
172.webp,0.0079,90.0377
173.webp,0.0311,89.9178
174.webp,0.0100,90.0360
175.webp,0.0175,89.9261
176.webp,0.0091,89.9338
177.webp,0.0190,89.9212
178.webp,0.0346,89.9172
179.webp,0.0277,89.9181
18.webp,0.0067,89.9300
180.webp,0.0192,89.9327
181.webp,0.0173,89.9196
182.webp,0.0172,89.9198
183.webp,0.0310,89.9185
184.webp,0.0271,89.9194
185.webp,0.0098,89.9223
186.webp,0.0143,89.9190
187.webp,0.0323,89.9183
188.webp,0.0399,89.9164
189.webp,0.0085,89.9261
19.webp,0.1422,89.9172
190.webp,0.0069,89.9291
191.webp,0.0258,89.9161
192.webp,0.0156,89.9231
193.webp,0.0329,89.9201
194.webp,0.0196,89.9234
195.webp,0.0190,89.9205
196.webp,0.0327,90.0451
197.webp,0.0386,89.9176
198.webp,0.0218,89.9240
199.webp,0.0191,89.9222
2.webp,0.0173,89.9176
20.webp,0.0320,89.9192
200.webp,0.0279,89.9221
201.webp,0.0394,89.9158
202.webp,0.1932,89.9152
203.webp,0.0110,89.9216
204.webp,0.0185,89.9157
205.webp,0.0321,89.9204
206.webp,0.0089,89.9385
207.webp,0.0282,89.9209
208.webp,0.0195,89.9176
209.webp,0.0213,90.0378
21.webp,0.0063,89.9256
210.webp,0.0308,89.9202
211.webp,0.0209,90.0392
212.webp,0.0157,89.9215
213.webp,0.0066,89.9355
214.webp,0.0246,89.9204
215.webp,0.0075,89.9282
216.webp,0.0136,89.9306
217.webp,0.0115,90.1637
218.webp,0.0204,89.9265
219.webp,0.0089,89.9286
22.webp,0.0201,90.1519
220.webp,0.0146,90.0413
221.webp,0.0067,89.9236
222.webp,0.0107,89.9326
223.webp,0.0303,89.9215
224.webp,0.0098,89.9345
225.webp,0.3658,89.9146
226.webp,0.0095,90.1508
227.webp,0.0125,90.1548
228.webp,0.0125,89.9239
229.webp,0.0213,89.9238
23.webp,0.0092,89.9269
230.webp,0.0260,89.9165
231.webp,0.0318,89.9217
232.webp,0.0132,89.9266
233.webp,0.0100,89.9257
234.webp,0.0079,89.9334
235.webp,0.0104,89.9317
236.webp,0.0079,89.9279
237.webp,0.0092,89.9142
238.webp,0.0197,89.9239
239.webp,0.0210,89.9275
24.webp,0.0149,89.9227
240.webp,0.0127,90.0367
241.webp,0.0213,89.9211
242.webp,0.0111,89.9286
243.webp,0.0152,89.9212
244.webp,0.0126,90.0416
245.webp,0.0082,89.9335
246.webp,0.0255,89.9194
247.webp,0.0092,89.9205
248.webp,0.0086,89.9237
249.webp,0.0076,89.9255
25.webp,0.0265,89.9221
250.webp,0.0087,89.9372
251.webp,0.0207,89.9188
252.webp,0.0211,90.0390
253.webp,0.0461,89.9199
254.webp,0.0120,89.9228
255.webp,0.0082,89.9426
256.webp,0.0177,89.9226
257.webp,0.0427,89.9166
258.webp,0.0290,89.9181
259.webp,1.8901,90.1515
26.webp,0.0235,89.9212
260.webp,0.0578,89.9167
261.webp,0.0271,89.9221
